id,position,national_team,height,weight,birth_date,age,name,first_name,last_name
26,Goalkeeper,England,190,77,2003-09-03T00:00:00.000Z,21 years 264 days,Harvey Davies,Harvey,Davies
27,Left/Centre/Right Winger,Italy,175,70,1997-10-25T00:00:00.000Z,27 years 212 days,Federico Chiesa,Federico,Chiesa
15,Left/Centre/Right Winger,Egypt,175,71,1992-06-15T00:00:00.000Z,32 years 344 days,Mohamed Salah,Mohamed,Salah Hamed Mahrous Ghaly
25,Centre Central Midfielder,England,182,75,2002-10-31T00:00:00.000Z,22 years 206 days,Tyler Morton,Tyler,Morton
21,Centre Central Midfielder,Netherlands,190,83,2002-05-16T00:00:00.000Z,23 years 9 days,Ryan Gravenberch,Ryan,Gravenberch
5,Centre Central Defender,France,194,95,1999-05-25T00:00:00.000Z,26 years,Ibrahima Konaté,Ibrahima,Konaté
16,Centre Striker,Netherlands,193,76,1999-05-07T00:00:00.000Z,26 years 18 days,Cody Gakpo,Cody,Gakpo
20,Centre Defensive Midfielder,Japan,178,76,1993-02-09T00:00:00.000Z,32 years 105 days,Wataru Endo,Wataru,Endo
9,Left/Centre/Right Attacking Midfielder,Hungary,186,74,2000-10-25T00:00:00.000Z,24 years 212 days,Dominik Szoboszlai,Dominik,Szoboszlai
6,Left Full Back,Greece,179,77,1996-05-12T00:00:00.000Z,29 years 13 days,Kostas Tsimikas,Kostas,Tsimikas
22321,Left Full Back,England,172,70,2003-04-04T00:00:00.000Z,21 years 344 days,James Norris,James,Norris
17,Left/Centre/Right Striker,Portugal,178,68,1996-12-04T00:00:00.000Z,28 years 172 days,Diogo Jota,Diogo José,Teixeira da Silva
19,Right Full Back,Northern Ireland,180,64,2003-07-09T00:00:00.000Z,21 years 320 days,Conor Bradley,Conor,Bradley
23,Midfielder,England,180,75,2007-06-30T00:00:00.000Z,17 years 329 days,Treymaurice Nyoni,Treymaurice,Nyoni
26650,Centre Striker,England,183,67,2006-01-16T00:00:00.000Z,19 years 21 days,Jayden Danns,Jayden,Danns
28274,Left Winger,England,170,75,2008-08-29T00:00:00.000Z,16 years 269 days,Rio Ngumoha,Rio,Ngumoha
18,Centre Central Defender,England,190,84,2003-01-29T00:00:00.000Z,22 years 116 days,Jarell Quansah,Jarell,Quansah
12,Centre/Right Attacking Midfielder,England,170,64,2003-04-04T00:00:00.000Z,22 years 51 days,Harvey Elliott,Harvey,Elliott
22,Defender,England,186,72,2006-11-18T00:00:00.000Z,18 years 188 days,Amara Nallo,Amara,Nallo
24363,Right Full Back,Zimbabwe,186,75,2004-09-22T00:00:00.000Z,20 years 245 days,Isaac Mabaya,Isaac,Mabaya
2,Goalkeeper,Ireland,188,74,1998-11-23T00:00:00.000Z,26 years 183 days,Caoimhín Kelleher,Caoimhín,Kelleher
26647,Centre Striker,England,175,65,2004-09-13T00:00:00.000Z,20 years 254 days,James McConnell,James,McConnell
24,Goalkeeper,Czech Republic,190,88,2001-07-23T00:00:00.000Z,23 years 306 days,Vítezslav Jaros,Vítezslav,Jaros
28,Winger,England,175,65,2005-12-26T00:00:00.000Z,19 years 150 days,Ranel Young,Ranel,Young
11,Centre Central Midfielder,England,185,78,2001-01-30T00:00:00.000Z,24 years 115 days,Curtis Jones,Curtis,Jones
8,Right Full Back,England,175,67,1998-10-07T00:00:00.000Z,26 years 230 days,Trent Alexander-Arnold,Trent,Alexander-Arnold
25625,Right Full Back,Scotland,177,68,2003-07-31T00:00:00.000Z,21 years 167 days,Calvin Ramsay,Calvin,Ramsay
178324,Attacking Midfielder,Northern Ireland,170,65,2006-11-09T00:00:00.000Z,18 years 197 days,Kieran Morrison,Kieran,Morrison
14,Centre Striker,Uruguay,187,81,1999-06-24T00:00:00.000Z,25 years 335 days,Darwin Núñez,Darwin,Núñez
3,Left/Centre/Right Central Defender,England,188,80,1997-05-23T00:00:00.000Z,28 years 2 days,Joe Gomez,Joe,Gomez
4,Centre Central Defender,Netherlands,195,92,1991-07-08T00:00:00.000Z,33 years 321 days,Virgil van Dijk,Virgil,van Dijk
24362,Right Winger,England,173,70,2004-10-05T00:00:00.000Z,20 years 123 days,Kaide Gordon,Kaide,Gordon
23445,Centre Central Defender,England,195,82,2001-02-03T00:00:00.000Z,23 years 336 days,Rhys Williams,Rhys,Williams
178322,Forward,Ireland,175,65,2006-06-30T00:00:00.000Z,18 years 329 days,Trent Koné-Doherty,Trent,Koné-Doherty
10,Left/Centre/Right Attacking Midfielder,Argentina,176,69,1998-12-24T00:00:00.000Z,26 years 152 days,Alexis Mac Allister,Alexis,Mac Allister
7,Left Full Back,Scotland,178,64,1994-03-11T00:00:00.000Z,31 years 75 days,Andy Robertson,Andy,Robertson
13,Left/Right Winger,Colombia,178,65,1997-01-13T00:00:00.000Z,28 years 132 days,Luis Díaz,Luis,Díaz
1,Goalkeeper,Brazil,193,91,1992-10-02T00:00:00.000Z,32 years 235 days,Alisson Becker,Alisson Ramsés,Becker
